N	TimeHtD	TimeDtH
1	5.960464e-06	6.914139e-06
2	2.861023e-06	7.867813e-06
4	2.145767e-06	7.867813e-06
8	1.907349e-06	7.867813e-06
16	2.145767e-06	7.867813e-06
32	1.907349e-06	7.867813e-06
64	1.907349e-06	7.867813e-06
128	1.907349e-06	7.867813e-06
256	2.145767e-06	6.914139e-06
512	1.907349e-06	6.914139e-06
1024	1.907349e-06	8.106232e-06
2048	2.861023e-06	1.096725e-05
4096	5.006790e-06	1.502037e-05
8192	8.821487e-06	2.193451e-05
16384	1.215935e-05	3.790855e-05
32768	2.312660e-05	7.104874e-05
65536	4.482269e-05	1.349449e-04
131072	8.392334e-05	2.591610e-04
262144	1.430511e-04	4.479885e-04
524288	4.680157e-04	8.211136e-04
1048576	1.207113e-03	1.579046e-03
2097152	2.614975e-03	3.069878e-03
4194304	5.181074e-03	6.084919e-03
