N	TIME_onDEV_fptr	TIME_onDEV_old	TIME_HOST
1	2.098083e-05	1.215935e-05	0.000000e+00
2	2.002716e-05	1.192093e-05	0.000000e+00
4	2.312660e-05	1.311302e-05	0.000000e+00
8	2.193451e-05	1.192093e-05	0.000000e+00
16	2.098083e-05	1.287460e-05	0.000000e+00
32	2.098083e-05	1.287460e-05	0.000000e+00
64	2.002716e-05	1.192093e-05	0.000000e+00
128	2.098083e-05	1.192093e-05	0.000000e+00
256	2.002716e-05	1.096725e-05	0.000000e+00
512	2.098083e-05	1.192093e-05	9.536743e-07
1024	2.193451e-05	1.192093e-05	9.536743e-07
2048	2.288818e-05	1.406670e-05	1.907349e-06
4096	2.503395e-05	1.692772e-05	5.960464e-06
8192	2.503395e-05	1.788139e-05	1.120567e-05
16384	2.598763e-05	1.788139e-05	2.288818e-05
32768	2.908707e-05	2.193451e-05	4.506111e-05
65536	3.194809e-05	2.503395e-05	8.606911e-05
131072	4.315376e-05	3.409386e-05	1.709461e-04
262144	6.508827e-05	5.888939e-05	3.378391e-04
524288	1.070499e-04	1.010895e-04	6.909370e-04
1048576	2.000332e-04	1.850128e-04	1.463890e-03
2097152	3.719330e-04	3.609657e-04	3.302097e-03
4194304	7.219315e-04	7.159710e-04	6.352901e-03
8388608	1.456022e-03	1.405954e-03	1.276922e-02
16777216	2.833843e-03	2.892017e-03	2.577305e-02
